problemName,numCustomers,totalTime_our,ofv_our,waitingTruck_our,waitingUAV_our,numUAVcust_our,numTruckCust_our,totalTime_their,ofv_their,waitingTruck_their,waitingUAV_their,numUAVcust_their,numTruckCust_their,matchType,totalTime_diff_our_minus_their,totalTime_diff_their_minus_our,totalTime_our_improvement_percent,ofv_diff_our_minus_their,ofv_diff_their_minus_our,ofv_our_improvement_percent,waitingTruck_diff_our_minus_their,waitingTruck_diff_their_minus_our,waitingTruck_our_improvement_percent,waitingUAV_diff_our_minus_their,waitingUAV_diff_their_minus_our,waitingUAV_our_improvement_percent,numUAVcust_diff_our_minus_their,numUAVcust_diff_their_minus_our,numTruckCust_diff_our_minus_their,numTruckCust_diff_their_minus_our,totalTime_winner,ofv_winner,waitingTruck_winner,waitingUAV_winner,numUAVcust_winner,numTruckCust_winner
20170608T122024823843,10,0.061079,1236.292526,240.0,192.644886,3,7,0.072824,1158.027168,180.0,461.448809,3,7,problemName_numCustomers,-0.011744999999999998,0.011744999999999998,16.127924859936282,78.26535799999988,-78.26535799999988,-6.758507931655008,60.0,-60.0,-33.33333333333333,-268.80392299999994,268.80392299999994,58.25216530139532,0,0,0,0,our,their,their,our,tie,tie
20170608T122029847985,10,0.075473,1390.440297,180.0,57.769729,2,8,0.334393,1217.145038,630.0,1060.024864,7,3,problemName_numCustomers,-0.25892,0.25892,77.42985050524382,173.295259,-173.295259,-14.237847880870213,-450.0,450.0,71.42857142857143,-1002.255135,1002.255135,94.55015340093004,-5,5,5,-5,our,their,our,our,their,their
20170608T122034665363,10,0.05825,1510.356949,180.0,248.453666,2,8,0.058085,1498.145559,330.0,316.976911,4,6,problemName_numCustomers,0.00016500000000000542,-0.00016500000000000542,-0.2840664543341748,12.211389999999938,-12.211389999999938,-0.8151003703639412,-150.0,150.0,45.45454545454545,-68.52324499999997,68.52324499999997,21.6177401640462,-2,2,2,-2,their,their,our,our,their,their
20170608T122043762852,10,0.036567,1174.878166,240.0,128.965557,3,7,0.056762,1174.878166,240.0,68.965557,3,7,problemName_numCustomers,-0.020194999999999998,0.020194999999999998,35.57837990204714,0.0,0.0,0.0,0.0,0.0,0.0,59.999999999999986,-59.999999999999986,-86.99994984452889,0,0,0,0,our,tie,tie,their,tie,tie
20170608T122048564577,10,0.084829,1473.452895,270.0,225.234475,3,7,0.058921,1473.452895,270.0,195.234475,3,7,problemName_numCustomers,0.025908,-0.025908,-43.97074048301964,0.0,0.0,0.0,0.0,0.0,0.0,30.0,-30.0,-15.36613858797223,0,0,0,0,their,tie,tie,their,tie,tie
20170608T122053358160,10,0.035277,1649.186533,190.643737,50.027565,2,8,0.070639,1638.542796,180.0,199.94424,2,8,problemName_numCustomers,-0.03536199999999999,0.03536199999999999,50.06016506462435,10.643737000000101,-10.643737000000101,-0.649585535756742,10.643736999999987,-10.643736999999987,-5.9131872222222155,-149.916675,149.916675,74.97924171258946,0,0,0,0,our,their,their,our,tie,tie
20170608T122058404415,10,0.049643,1352.250883,180.0,130.324592,2,8,0.063513,1348.805887,270.0,278.608355,3,7,problemName_numCustomers,-0.01387,0.01387,21.838048903374112,3.4449959999999464,-3.4449959999999464,-0.2554108069369619,-90.0,90.0,33.33333333333333,-148.28376300000002,148.28376300000002,53.22301371758934,-1,1,1,-1,our,their,our,our,their,their
20170608T122103536027,10,0.042951,1504.472408,330.0,373.350477,4,6,0.057622,1504.472408,330.0,218.317607,4,6,problemName_numCustomers,-0.014670999999999997,0.014670999999999997,25.460761514699243,0.0,0.0,0.0,0.0,0.0,0.0,155.03287,-155.03287,-71.01253633656766,0,0,0,0,our,tie,tie,their,tie,tie
20170608T122108589505,10,0.004606,1601.850049,29.038478,94.843438,5,5,0.083438,1512.811571,390.0,545.80496,5,5,problemName_numCustomers,-0.078832,0.078832,94.4797334547808,89.03847799999994,-89.03847799999994,-5.885629096632547,-360.961522,360.961522,92.55423641025641,-450.96152200000006,450.96152200000006,82.62319968656936,0,0,0,0,our,their,our,our,tie,tie
20170608T131310834813,10,0.051487,1206.838446,314.331171,172.380653,3,7,0.079197,1191.401612,298.894337,145.392662,3,7,problemName_numCustomers,-0.027710000000000005,0.027710000000000005,34.98869906688385,15.43683400000009,-15.43683400000009,-1.2956868485418913,15.436833999999976,-15.436833999999976,-5.164645859449648,26.987990999999994,-26.987990999999994,-18.56214105220798,0,0,0,0,our,their,their,their,tie,tie
20170606T113038113409,25,0.074538,7044.409761,422.55077,2032.993512,18,7,0.97189,6230.280726,1679.999999,10523.1537,20,5,problemName_numCustomers,-0.897352,0.897352,92.33061354680056,814.1290349999999,-814.1290349999999,-13.067292964865992,-1257.4492289999998,1257.4492289999998,74.84816843740963,-8490.160188000002,8490.160188000002,80.68075816473156,-2,2,2,-2,our,their,our,our,their,their
20170606T113251786976,25,0.118897,10075.616371,250.867201,1738.781696,14,11,6.172763,7372.357866,1380.0,5510.061492,16,9,problemName_numCustomers,-6.053866,6.053866,98.07384472723155,2703.258505,-2703.258505,-36.66748893819908,-1129.132799,1129.132799,81.82121731884058,-3771.279796,3771.279796,68.44351558463515,-2,2,2,-2,our,their,our,our,their,their
20170606T113339368121,25,0.133381,7959.476353,322.555315,1664.210526,10,15,1.549202,7197.176445,1469.999999,8920.911637,17,8,problemName_numCustomers,-1.415821,1.415821,91.39034160813115,762.299908,-762.299908,-10.5916523490206,-1147.4446839999998,1147.4446839999998,78.05746154969894,-7256.701110999999,7256.701110999999,81.34483790762381,-7,7,7,-7,our,their,our,our,their,their
20170606T113427164164,25,0.130484,7661.503759,141.916798,4150.186921,12,13,3.503933,6828.704024,1593.527981,5328.482024,18,7,problemName_numCustomers,-3.373449,3.373449,96.27607034723552,832.7997350000005,-832.7997350000005,-12.19557520831277,-1451.611183,1451.611183,91.0941759610056,-1178.2951029999995,1178.2951029999995,22.113147753766345,-6,6,6,-6,our,their,our,our,their,their
20170606T113515209066,25,0.125861,8584.297083,114.537674,504.333333,9,16,0.916905,7398.995146,1259.999999,3029.074191,14,11,problemName_numCustomers,-0.791044,0.791044,86.27327803861905,1185.3019369999993,-1185.3019369999993,-16.019769085005954,-1145.462325,1145.462325,90.9097084054839,-2524.740858,2524.740858,83.35024825412076,-5,5,5,-5,our,their,our,our,their,their
20170606T113603010160,25,0.160017,9873.860336,211.9873,391.361802,7,18,0.746509,8145.424849,1360.645378,4376.605572,15,10,problemName_numCustomers,-0.586492,0.586492,78.56462547671897,1728.4354869999997,-1728.4354869999997,-21.21970945704811,-1148.658078,1148.658078,84.42009186026132,-3985.2437700000005,3985.2437700000005,91.05786903659319,-8,8,8,-8,our,their,our,our,their,their
20170606T113651352937,25,0.088363,8436.179693,142.524205,1147.641178,9,16,0.979765,6840.804493,1620.0,8312.870049,18,7,problemName_numCustomers,-0.891402,0.891402,90.98120467663165,1595.3752000000004,-1595.3752000000004,-23.32145585555767,-1477.475795,1477.475795,91.20220956790124,-7165.228870999999,7165.228870999999,86.19440492591298,-9,9,9,-9,our,their,our,our,their,their
20170606T123216270309,25,0.080211,5768.141259,634.302261,2235.726196,16,9,6.564618,4822.051078,1530.0,7124.396773,17,8,problemName_numCustomers,-6.484407,6.484407,98.7781314921904,946.0901809999996,-946.0901809999996,-19.620077964673925,-895.697739,895.697739,58.54233588235294,-4888.670577000001,4888.670577000001,68.61872987657085,-1,1,1,-1,our,their,our,our,their,their
20170606T123231190878,25,0.09461,5100.808554,857.942348,762.347828,15,10,4.926279,3436.609174,1818.932354,4331.271757,20,5,problemName_numCustomers,-4.831669,4.831669,98.07948352092927,1664.19938,-1664.19938,-48.42562234282157,-960.990006,960.990006,52.83264129568613,-3568.9239290000005,3568.9239290000005,82.3989841605314,-5,5,5,-5,our,their,our,our,their,their
20170606T123246328134,25,0.084356,5800.749518,189.599956,354.609174,10,15,1.466979,5086.130706,1139.999999,3877.819002,14,11,problemName_numCustomers,-1.382623,1.382623,94.24967910242749,714.6188119999997,-714.6188119999997,-14.050343046767932,-950.4000429999999,950.4000429999999,83.3684248976916,-3523.209828,3523.209828,90.8554480284637,-4,4,4,-4,our,their,our,our,their,their
20170606T123301396863,25,0.089516,5247.654167,286.796993,1495.055221,15,10,5.788665,4582.432597,1500.0,6377.196068,18,7,problemName_numCustomers,-5.699149,5.699149,98.45359854128716,665.2215699999997,-665.2215699999997,-14.516778063151502,-1213.203007,1213.203007,80.88020046666668,-4882.140847000001,4882.140847000001,76.55622933561655,-3,3,3,-3,our,their,our,our,their,their
20170606T123316638608,25,0.087482,5779.705448,89.775635,981.583088,16,9,6.343327,5166.696238,1499.999999,7030.103098,18,7,problemName_numCustomers,-6.255845000000001,6.255845000000001,98.62088143966092,613.0092099999993,-613.0092099999993,-11.864626480098465,-1410.224364,1410.224364,94.01495766267664,-6048.520009999999,6048.520009999999,86.0374296889152,-2,2,2,-2,our,their,our,our,their,their
20170606T123331779163,25,0.096099,6324.276453,32.741287,1623.351155,16,9,2.388627,5397.581306,1500.0,7397.774638,18,7,problemName_numCustomers,-2.292528,2.292528,95.97681010890356,926.6951470000004,-926.6951470000004,-17.168711214593056,-1467.258713,1467.258713,97.81724753333333,-5774.423483,5774.423483,78.05622319634658,-2,2,2,-2,our,their,our,our,their,their
20170606T123346836976,25,0.744443,6149.539715,828.394731,752.209495,8,17,14.170471,5321.001896,1529.999999,6633.351015,17,8,problemName_numCustomers,-13.426027999999999,13.426027999999999,94.7465190112594,828.5378190000001,-828.5378190000001,-15.571086708742646,-701.6052679999999,701.6052679999999,45.856553494023885,-5881.14152,5881.14152,88.66018859398473,-9,9,9,-9,our,their,our,our,their,their
